Course Code, Course Name, Faculty ID, Course Description
HLTH102,Introduction to Health 2,AHS,"This course expands upon the general concepts introduced in HLTH 101 while extending the discussion to include issues such as: additional barriers to health; disease prevention; and methods used to plan, monitor and improve individual and population health. Discussion will include when various interventions are justified and why, and where and when combinations of policies, treatments, education and other approaches are necessary. The health of Canadians relative to that of people in other countries, as well as the inequalities that exist in health status within Canada and around the globe will be examined. Case examples will be used to illustrate points."
HLTH103,Biological Determinants of Health,AHS,"This course is an introduction to the biological determinants of health designed for students who have little formal knowledge of biology, but who wish to train for careers in health promotion, public health or other social and community services."
HLTH201,Aging and Health,AHS,"This course focuses on the challenges facing older adults and on strategies to promote successful aging. A basic understanding of the physical aging process is explored, distinguishing between pathological states/illness and normal change. Many physical changes and associated functional decline are affected by modifiable factors such as sedentary lifestyles, substance abuse, and diet. Education, environment, and personal supports also play key roles in preventing illness and accidents (e.g. falls, driving accidents, and medication errors). The course addresses the interests of those working with older adults, and anyone who has older grandparents, parents, or friends."
HLTH202,Introduction to Public and Population Health,AHS,"This course will introduce the student to the basic theories, principles and practice of public and population health."
HLTH203,Systems Thinking for Health,AHS,"This course provides the student with an introduction to "systems thinking", including its history, theories, and applications. Students will be introduced to notions such as multi-level holism (complexity, the embedded nature of problems and solution), requisite variety (fostering innovation and adaptation to change), cybernetics (adjustment and learning), and autopoeis. Emphasis will be placed on how systems approaches can be used to frame and solve population health and health promotion challenges."
HLTH210,Development, Aging and Health,AHS,"The physiology of human growth, development and aging is examined, with special reference to the influence of diet, environment, exercise and disease on the normal processes."
HLTH218,Psychology of Death and Dying,AHS,"Variations in the meaning and significance of death and dying will be considered from a psychological perspective, with particular attention to the contexts (e.g., cultural, familial, life-span developmental) in which these variations occur."
HLTH220,Psychosocial Perspectives on Lifespan Development and Health,AHS,"This course will focus on psychosocial aspects of development of the individual and their influence on the individual's health and well-being. Through the use of the lifespan approach, the course will emphasize development as a life-long process, but will place particular emphasis on health and aging."
HLTH245,The Canadian Health Care System,AHS,"This course examines the Canadian health care system by considering organizational principles, health resources, service utilization, health care planning and health promotion strategies. There is a focus on societal and political issues which affect the health of the society through the delivery system."
HLTH253,Demographic Change in Canada,AHS,"An introduction to the study of human population, with a focus on mortality, fertility, migration and spatial distribution in Canada. Methods and measures used in demographic research, sources of demographic data, and the health and social implications of the major demographic trends are discussed."
HLTH260,Social Determinants of Health,AHS,"Enormous inequalities in health persist both within and between countries. These inequalities can be seen across various axes including gender, ethnicity, and access to material resources. As such, those relatively deprived/underprivileged have substantially poorer health than those better off. The course will demonstrate the extent of inequalities in health, and it will explore current theories explaining how inequalities arise, focusing on behavioural/cultural, psychosocial, and structural/material explanations. The course will also investigate the role of various approaches to economic and social policy in creating or reducing inequalities."
HLTH302,Cultural and Community Competency,AHS,"An understanding of multiple cultures and of community systems is vital to the practice of public and population health. In this course the student will learn about the most common cultures in Canadian society. The student will also delve into the application of systems theory in understanding community functioning. The course includes application of theory in which the student is sensitized to multiple cultures other than their own through case studies."
HLTH303,Program Planning,AHS,"In this course the student is introduced to the theory and practice of public and population health programming applicable across the broad spectrum of core public health functions."
HLTH305,Community Development, Engagement and Advocacy,AHS,"In this course students will be introduced to the nature of communities in a variety of forms and functions, issues and conditions which impact communities, as well as internal and external forces which shape community action and priority setting. The focus will be on how to engage communities, respect their autonomy, and create functional collaborations. Students will also be introduced to the concept of advocacy as a tool for influencing public policy, resource allocation and other decisions within political, economic and social systems, and institutions through tools such as community development and engagement, media, public speaking, research and polling, and legal action."
HLTH330,Health Informatics,AHS,"Health informatics is the multidisciplinary field devoted to the study of the generation, dissemination/communication, and utilization of health information. It covers the study of how providers of information design, produce, and interpret health information; how such information is communicated and stored; and how it is received, understoood, and used by its recipients."
HLTH333,Experimental Methods and Observational Methods in Epidemiology,AHS,"Health research addresses a broad range of problems, leading to the use of a diverse range of research strategies and methodologies. This course is offered concurrently with HLTH 344 and will focus on experimental, quasi-experimental and analytical observational (cohort, case control, cross-sectional) research designs. The aim of this course is to provide a basic understanding of each of these study designs, including their strengths and weaknesses, threats to validity, and appropriate statistical methods."
HLTH340,Environmental Toxicology and Public Health,AHS,"An introduction to the basic biological and toxicological processes that determine the effects of environmental pollutants on human health. Emphasis is placed on the mechanisms that give rise to chronic or delayed health effects, such as cancer, genetic mutations, and birth defects."
HLTH341,Immunobiology and Public Health,AHS,"An introduction to the study of the immunobiological factors governing the occurrence of disease in humans. Selected chronic and acute diseases will be used to illustrate immunobiological mechanisms and the identification of risk factors from a public health perspective. The contribution of social determinants of health to modifying
immunobiological mechanisms in human disease will also be considered."
HLTH344,Evaluation, Qualitative, and Survey Methods,AHS,"Increasingly, health services and community programs are under the scrutiny of their funders and the people using them and are being held more accountable. This course will expose students to political, ethical, social and methodological issues involved in program planning and evaluation. In addition, students will be introduced to survey and qualitative methods that are widely used in health research and program evaluation."
HLTH346,Human Nutrition,AHS,"An elementary course in nutrition with special emphasis on diet for sport and certain physiological conditions."
HLTH348,Social Psychology of Health Behaviour,AHS,"The study and application of basic social psychological processes in relation to selected health-related behaviours (e.g. family planning, overeating, smoking, non-medical drug use, cardiovascular risk factors, patient compliance, medical care utilization)."
HLTH349,Health Behaviour Change,AHS,"The course will focus on the prevention of chronic disease through individual and population health behaviour change. Topics covered will include basic learning principles of behaviour, behaviour modification techniques, intrapersonal and interpersonal theories of behaviour change, motivation, and the role of policy in behaviour change. Application of principles will be examined using primary and secondary prevention trials and worksite health promotion programs."
HLTH350,Occupational Health,AHS,"Methodological approaches to the detection, assessment and management of toxic hazards (especially carcinogens) in the workplace and external environment. The health effects of chemical toxicants on specific human organ systems (lung, nervous system, immune system, etc.) are also examined."
HLTH352,Sociology of Aging,AHS,"An introduction to individual and population aging. Topics discussed include: aging from a historical and comparative perspective; aging in subcultures; aging and the social structure; aging and social processes; aging and the environment; work and retirement; and aging and leisure patterns."
HLTH360,Psychological Determinants of Health,AHS,"Psychological factors are critical to understanding how and why people act in the interests of their health. This course will examine how basic concepts from social psychology, learning theory, and models of health behaviour can help us to understand various health behaviours, health care utilization, and decision making in the context of health. The course will also explore the importance of health behaviour in the context of a population health perspective and population-level change."
HLTH400,Multidisciplinary Seminar on Aging,AHS,"Faculty and students from various departments meet to discuss individual and population aging from a multidisciplinary perspective. Topics include the definition of aging, the demography of aging, evolutionary and genetic factors, aging as a social process, and human aging patterns."
HLTH402,Advanced Health Promotion,AHS,"This course will build upon material learned in HLTH 202 and 301. The student will have the opportunity to explore health promotion techniques in greater depth through case study and practical applications."
HLTH405,International Exchange,AHS,"Study abroad on an Exchange Agreement approved by the Faculty of Applied Health Sciences."
HLTH407,Coronary Artery Disease - Prevention and Rehabilitation,AHS,"This course explores the pathophysiology, electrophysiology, risk factors, and assessment and rehabilitation options related to cardiovascular disease. Major emphasis is placed on the utitlity of exercise in the assessment and rehabilitation of primary and secondary cardiovascular disease."
HLTH410,Health Policy,AHS,"Health care policy exists at federal, provincial, local and institutional levels, and shapes every aspect of the Canadian Health Care System. Its ongoing development, implementation and outcomes are shaped by ideology and empirical evidence through the definition of health issues, setting of priorities for action, and the policy instruments chosen for implementation. This course will introduce students to health policy in Canada and provide them with an understanding of what policy is, how it is developed, who is involved with its production, implementation and evaluation. Students will learn to critically analyse real world examples of Canadian health policy."
HLTH420,Health, Environment, and Planning,AHS,"A seminar course on the environmental sources and causes of disease and illness, the concepts of health, e.g. medical, scientific, economic, political, etc., the health services and facilities and related technologies and the role and responsibilities of (urban and regional) planners in the creation of a more healthful environment."
HLTH421,Nutritional Aspects of Chronic Disease,AHS,"Nutrition is integral to the etiology, prevention and treatment of chronic diseases. This course examines nutritional aspects of key chronic diseases affecting the Canadian population. There will be an opportunity for students to explore, in depth, specific conditions and aspects of nutritional assessment or intervention that interest them. Case topics span the lifecycle and such conditions as obesity, eating disorders, diabetes, dyslipidemia, cardiovascular disease and some cancers. As well, students present seminars on a topic of their choice."
HLTH432A,Honours Thesis (A),AHS,"An independent research project on an approved topic, supervised by a faculty member. Includes an approved proposal and completion of -- introduction, review of literature, methods, data collection, data analysis and presentation of results in thesis form. Recommended for students planning graduate studies."
HLTH432B,Honours Thesis (B),AHS,"An independent research project on an approved topic, supervised by a faculty member. Includes an approved proposal and completion of -- introduction, review of literature, methods, data collection, data analysis and presentation of results in thesis form. Recommended for students planning graduate studies."
HLTH433,Advanced Experimental Methods,AHS,"This course builds upon the concepts learned in HLTH 333 and focuses on the key issues related to the design, conduct, analyses and interpretation of experimental studies. Examples will be drawn from animal research investigating disease mechanisms, and from clinical and population studies investigating efficacy of preventive or therapeutic strategies."
HLTH435,Knowledge Translation and the Application of Health Evidence,AHS,"This course will focus on the dissemination, interpretation and ethically-sound application of research findings specific to the health field. The course will explore the creation and exchange of knowledge that occurs in a mutually interdependent system of researchers and practitioners of clinical and population health. Topics of discussion may include definitions of Knowledge Translation and Exchange, the iterative processes involved in Knowledge Exchange, instances when Knowledge Exchange may fail, and the importance of Knowledge Exchange to the provision of clinical and population health services. Case studies will be employed to illustrate discussions. [First offered winter 2014]"
HLTH442,Epidemiology of Chronic Diseases,AHS,"This course builds upon the concepts learned in HLTH 333 and HLTH 344 and provides an introduction to the field of epidemiology. The primary objective is to provide an understanding of the fundamental concepts, principles and applications of chronic disease epidemiology. The course emphasizes understanding of epidemiologic methods and identification of risk and protective factors."
HLTH444,Program Evaluation,AHS,"Building upon the concepts learned in HLTH 333 and HLTH 344 this course provides a comprehensive and systematic introduction to the key concepts, methodologies, and issues related to program evaluation in general and their application to health programs in particular. Administrative and policy implications as well as the technical/methodological evaluation issues that face individuals involved in administering, planning, implementing, and evaluating health programs will be discussed."
HLTH445,Seminar in Health Promotion,AHS,"A study of current issues pertaining to health promotion, health behaviour, or biomedical research. Topics may include pertinent research that is significant to the health of individuals, families and groups, or the community."
HLTH448,Advanced Studies in Social Determinants of Health,AHS,"This course will provide an in-depth examination of social determinants of health, both in North America and around the world. Students will apply their knowledge and understanding of nonbiological contributors to health by observing, studying and 'unpacking' actual health issues in the local community."
HLTH449,Alcohol and Drug Use and Abuse in Contemporary Society,AHS,"This course will provide an overview of alcohol and drug use and abuse in contemporary society. The student will develop an understanding of how alcohol and other drug problems become defined as social problems and how these definitions influence subsequent intervention strategies. Students will explore the social, political, economic and biological determinants of the use and abuse of alcohol and drugs, and then critically examine real-world policy issues related to prevention, control and cessation of use."
HLTH451,Analysis and Management of Health Information in Aging Populations,AHS,"The course combines an overview of health policy issues and service delivery with methodological considerations in the analysis of health information from a variety of sources. The topics to be addressed may include the role of health information in evidence-based practice and policy development; basic concepts of demography and health information management; secondary data analysis; case-mix based funding systems; performance indicators, quality, and accountability in health care; clinical applications of health data; need analysis; cost analysis; international comparisons."
HLTH452,Decision Making and Decision Support in Health Informatics,AHS,"One of the major aims of health informatics is to help health professionals make better decisions. To this end, diverse models and methods of decision making and decision support have been developed and implemented in health care settings. This course reviews theories, methods, and technologies for aiding the process of making decisions in health care."
HLTH458,Social Neuroscience and Health,AHS,"This is an in-depth course intended for the intensive study of psychological, neuroscientific and social processes that together set the stage for the development of chronic illnesses in the modern world. Topics include exercise neuroscience, health-related decision processes, and neural responses to health risk communications in the media."
HLTH461,Psychoneuroimmunology,AHS,"The course provides an introduction into the principles of psychoneuroimmunology (behavioural immunology or PNI) and the application to various human health and disease conditions. Topics to be included are: immune system-nervous system interactions, neuroendocrine responses to stress and effects on immunity, cytokines as mediators of behaviour and immune function, behavioural factors (e.g. exercise, social support, maternal effects, sleep) that modify immune responses, and selected clinical applications (e.g. cancer, AIDS) that illustrate the relation of PNI to human health."
HLTH471,Psychopharmacology,AHS,"The primary objective of the course will be to provide a basic understanding of how drugs can alter the function of neural cells, and how these changes can affect mood, cognition, and behaviour. Key topics to be discussed include: a) biological principles of pharmacology, b) general structure and function of the nervous system, c) major neurotransmitter systems of the brain, d) mechanisms of drug action on neurotransmission, and e) pharmacotherapy."
HLTH472,Independent Study,AHS,"For the student who desires to pursue a particular topic in depth through guided independent research and/or reading. A faculty member must approve a student's project prior to registration. May be repeated in subsequent terms. Depending on student demand and availability of teaching resources, special topics may be presented to small groups in a lecture format. Such topics have included Pharmacology, Behavioural Immunity, Nutrition, The Health Care System."
HLTH473,Contemporary Issues in Health,AHS,"One or more term courses will be offered from time to time as announced by the School of Public Health and Health Systems. Subjects will be dependent upon special research and/or instructional interests of the faculty."
KIN1,Discussion of Behavioural Issues,AHS,""
KIN10,Ergonomics Option Seminar,AHS,"A seminar for students to present and discuss ergonomic issues regarding their previous semester's work term and to participate in debate of ergonomic issues"
KIN100,Human Anatomy: Limbs and Trunk,AHS,"Functionally-oriented regional anatomy of the limbs and trunk. A brief introduction to neuroanatomy is included."
KIN100L,Human Anatomy Lab,AHS,"Regional gross anatomy of the limbs and back (and the central nervous and cardiovascular systems, briefly) is examined using pre-dissected human cadavers. For the limbs and back, emphasis is placed on structures (muscles, nerves, and bones) involved in movement at the joints."
KIN101,Biophysical Evaluation Lab,AHS,"This lab provides exposure to practical measurement skills in the tests measuring cardiovascular function, neuromuscular function and body composition. Note: Labs offered alternate weeks."
KIN104,Issues and Approaches in Kinesiology,AHS,"An introduction to the issues and approaches used in kinesiology. Presentation of case studies will illustrate the foundational knowledge and procedures used by kinesiologists. Emphasis will be placed on practical skills, critical analysis, problem solving, and the integration of knowledge across the breadth of kinesiology."
KIN105,Cardiovascular and Respiratory Responses to Exercise,AHS,"The basic concepts of cardiovascular, respiratory and thermoregulatory responses to physical activity will be examined and applied to situations encountered in daily life including recreational activities, sport, and the workplace."
KIN121,Biomechanics of Human Activity,AHS,"Understanding human activity from a mechanical perspective prepares the student to address major issues which include reducing the risk of injury, optimizing exercise prescription, and understanding clinical evaluations. Specifically, concepts related to functional anatomy, muscle and passive tissue mechanics, anthropometry, electromyography, and linked segment mechanics are introduced and applied to clinical, occupational and athletic situations."
KIN140L,Sport Injury Management Lab,AHS,"This lab provides exposure and training in the management of injuries in an athletic population. Techniques include musculoskeletal assessment, emergency treatment, taping and splinting supports, heating, icing, stretching, and fitting protective equipment. Students applying for this lab must provide an information sheet listing experiences in injury settings. Current first aid and CPR certification required. Preference given to Year 1 and 2 Kinesiology students. Instructor Consent Required."
KIN155,Introduction to Neuroscience for Kinesiology,AHS,"An introduction to the principles of the nervous system control of movement, cognition and learning. The course will introduce the basic structure and function of the nervous system as it relates to understanding the control of movement and behaviour. The course will provide a foundation for understanding the neural mechanisms of learning, recovery from injury to the nervous system and the factors that determine skilled performance."
KIN205,Muscle Physiology in Exercise and Work,AHS,"This course examines the structure and composition of the muscle cell and the differences between cells which provide for a diversity of function during activity. Particular attention is also given to the motor nerve and muscle cell type interactions and the applied aspects of energy supply and utilization. Note: Labs offered alternate weeks."
KIN210,Development, Aging and Health,AHS,"The physiology of human growth, development and aging is examined, with special reference to the influence of diet, environment, exercise and disease on the normal processes."
KIN217,Human Biochemistry,AHS,"An elementary course in human biochemistry including the metabolism and function of proteins, carbohydrates, lipids, enzymatic function, energy metabolism, and introductory genetics. Emphasis is placed on clinical and medical applications."
KIN221,Advanced Biomechanics of Human Movement,AHS,"The course is structured to introduce measurement, analytical and computation techniques involving multisegmental, dynamic analysis of human activity. Examples of human activity in occupational, clinical and leisure settings from the perspectives of anthropometry, kinematics, kinetics, energetics, muscle mechanics and electromyography are given. The utility of biomechanical variables in the solution of questions involving human activity is emphasized using lectures and laboratories. Note: Labs offered alternate weeks."
KIN222,Statistical Techniques Applied to Kinesiology,AHS,"An introduction to descriptive and inferential statistics and the interpretation of data. A major consideration of the course is the use of statistics in the solution of problems in Kinesiology and Health Studies."
KIN242,Introduction to Movement Disorders,AHS,"An introduction to selected movement disorders and their implications for physical activity. The movement disorders examined include those which accompany neuromuscular and perceptual-motor impairment, mental retardation, cardio-vascular and respiratory disease."
KIN250,Sociology of Physical Activity,AHS,"An introduction to the sociology of physical activity. The course examines physical activity with respect to settings such as the workplace, educational and health systems, exercise, and sport. Particular attention is directed to a consideration of the social significance of physical activity and the social influences and constraints upon access and participation."
KIN255,Introduction to Psychomotor Behaviour,AHS,"An information processing approach is used to introduce the principles of learning and performing fine and gross motor skills. In addition, social psychological variables are studied as they relate to the facilitation or decrement in learning and performance."
KIN301,Human Anatomy of the Central Nervous System,AHS,"Functionally-oriented anatomy of the brain, spinal cord, cranial nerves and the tissues they innervate using predissected cadavers. This course complements other behavioural neuroscience courses including KIN 242, 357, 415, 416, 456 and PSYCH 261, 307, 396."
KIN307,Methods in Physiological Research,AHS,"An introduction to biochemical and physiological methods used by physiologists in clinical and physiological assessment including, but not restricted to: spectophometric and fluorometric techniques, tissue and blood sampling, cell culture techniques, DNA separation and staining. Western blotting, chromatography, cardiovascular imaging and body composition imaging and analysis. Course consists of lecture and laboratory to deliver both the theoretical and practical aspects of these analytical techniques."
KIN320,Task Analysis,AHS,"Task analysis is used to describe and analyze the activities of people in settings such as work, leisure and activities of daily living. There is a range of techniques developed in engineering, ergonomics and psychology to suit the investigator's purpose and setting. This course allows students to become familiar with a wide range of techniques and use them in a variety of settings. Approximately one technique will be addressed each week in a combined lecture/tutorial setting. Presentations by students are an integral part of the courses."
KIN330,Research Design,AHS,"An introduction to the basic principles of scientific inquiry in Kinesiology. A systematic treatment of the logic and practice of methods and techniques employed in research related to physical activity with an examination of design, sampling, data gathering and analysis."
KIN340,Musculoskeletal Injuries in Work and Sport,AHS,"A course in the area of sports medicine in which injuries encountered in sport and in the workplace are examined. Materials covered include the mechanisms of injury, tissue biomechanics, pathology, assessment, treatment and prevention of acute and chronic trauma."
KIN341,Selected Topics in Sport and Work Injuries,AHS,"This course covers the mechanisms, pathology, management and prevention of catastrophic injuries encountered in sport and work. Topics include trauma to the head, face, vertebral column, and knee, thermal injury, legal liability and others as requested by the students."
KIN342,Nutrition and Aging,AHS,"This course provides an overview of the nutrition and food-related issues, recommendations and best practices for older adults throughout the continuum of care (community to long term care). Determinants of food intake are a focus with specific consideration given to eating environment, psychosocial and physiological changes that influence access, preparation, and consumption of food. An emphasis will be placed on chronic disease prevention and management of nutrition issues and challenges throughout the continuum of care."
KIN343,Micronutrient Metabolism,AHS,"This course examines the metabolism of vitamins and minerals in the context of normal human development and aging with an emphasis on disease prevention and understanding the pathogenesis of deficiencies and toxicities. The function and role of vitamins and minerals will be discussed in specific groupings."
KIN346,Human Nutrition,AHS,"An elementary course in nutrition with special emphasis on diet for sport and certain physiological conditions."
KIN348,Social Psychology of Health Behaviour,AHS,"The study and application of basic social psychological processes in relation to selected health-related behaviours (e.g. family planning, overeating, smoking, non-medical drug use, cardiovascular risk factors, patient compliance, medical care utilization)."
KIN349,Health Behaviour Change,AHS,"The course will focus on the prevention of chronic disease through individual and population health behaviour change. Topics covered will include basic learning principles of behaviour, behaviour modification techniques, intrapersonal and interpersonal theories of behaviour change, motivation, and the role of policy in behaviour change. Application of principles will be examined using primary and secondary prevention trials and worksite health promotion programs."
KIN352,Sociology of Aging,AHS,"An introduction to individual and population aging. Topics discussed include: aging from a historical and comparative perspective; aging in subcultures; aging and the social structure; aging and social processes; aging and the environment; work and retirement; and aging and leisure patterns."
KIN354,Psychology of Physical Activity,AHS,"A comprehensive survey of psychological factors implicated in physical activity performance. Topics include social cognitive theories of physical activity behaviour, perception and sport performance, exercise training and brain function, exercise as a treatment modality for psychiatric conditions, and urban design as a means of physical activity promotion."
KIN356,Information Processing in Human Perceptual Motor Performance,AHS,"An information processing model of perceptual-motor behaviour is presented. Human performance theory is used to study processes mediating input and output information. Specifically, the subprocesses of storage of information in memory, perception, retrieval of information from memory and execution of movement are examined."
KIN357,Motor Learning,AHS,"A course focused on the bases and applications of theories of motor learning. Included are selected psychological and neurophysiological processes as they relate to these theories."
KIN372,International Exchange,AHS,"Study abroad on an Exchange Agreement approved by the Faculty of Applied Health Sciences."
KIN391,Research Apprenticeship,AHS,"This course provides an opportunity to learn how research is done by working in the research program of a faculty member. The apprenticeship involves unpaid participation for no more than 6-8 hours per week for at least 12 weeks of the term. Detailed requirements and application forms for this course are available at the Kinesiology Undergraduate Office. A student may enrol only once in KIN 391. This course is graded as credit/no credit."
KIN402,Microgravity, Hypo- and Hyperbaric Physiology,AHS,"An examination of human cardiorespiratory and metabolic responses at rest and during work in altered gravitational and barometric environments."
KIN403,Occupational and Environmental Physiology,AHS,"An analysis of the physiological demands of work place and recreational tasks under various environmental conditions. The course will examine how an individual's physiological potential might be influenced by the environment and specific task demands with implications for fatigue and/or injury."
KIN404,Physiological Basis of Obesity and Type 2 Diabetes,AHS,"This course will examine the environmental and physiological aspects of obesity and Type 2 Diabetes with emphasis on the molecular pathways involved in energy balance regulation. Topics to be covered include epidemiology of obesity and Type 2 Diabetes, regulation of energy intake (appetite), energy storage and energy expenditure, and the role of physical inactivity and activity in the causes and prevention of obesity and Type 2 Diabetes."
KIN405,Exercise Management,AHS,"An examination of the rationale and procedures used in the development of exercise programs for normally healthy individuals."
KIN406,Physiology of Muscle Aging and Disease,AHS,"This course will examine the cellular and molecular adaptations that occur in skeletal muscle during aging and disease. Topics to be covered include skeletal muscle satellite cells/stem cells, apoptosis and necrosis, mitochondrial dysfunction, oxidative stress, and inflammation. The influence of physical activity on these biological processes and in the prevention and treatment of skeletal disorders will also be discussed."
KIN407,Coronary Artery Disease - Prevention and Rehabilitation,AHS,"This course explores the pathophysiology, electrophysiology, risk factors, and assessment and rehabilitation options related to cardiovascular disease. Major emphasis is placed on the utitlity of exercise in the assessment and rehabilitation of primary and secondary cardiovascular disease."
KIN408,Cardiovascular Physiology and Pathophysiology,AHS,"This course will provide an advanced understanding of heart and blood vessel physiology in normal health, and in cardiovascular disease conditions including hypertension, heart failure, atherosclerosis, and diabetes. This will include examination of mechanisms underlying lifestyle and medical/ pharmacological management of these conditions from both
prevention and treatment perspectives. The influence of physical activity on heart and blood vessel physiology and pathophysiology will be emphasized. Contemporary research elucidating cellular and molecular mechanisms controlling heart and blood vessel function in health and disease will be discussed."
KIN415,Clinical Neurophysiology: Fundamentals for Rehabilitation of Human Movement,AHS,"This course explores current clinical neurophysiological concepts important for the control of human movement as well as current techniques used in clinical neurophysiology. Emphasis is placed on the neurophysiology underlying human movement pathologies and the application of this understanding to rehabilitation following injury to the central nervous system."
KIN416,Neuromuscular Integration,AHS,"An examination of the neural processes involved in the maintenance of posture and the control of movement."
KIN418,Age-Related Physical and Mental Changes and Effect of Exercise on Improving Health in the Aged,AHS,"This course is designed to provide the students with the knowledge that enables them to distinguish between normal and abnormal aging; to understand the implications of exercise in health and disease; to help the students understand the different physical and mental conditions they may experience while working with an older person; and to be prepared to meet the challenges associated with an increasing older population by developing knowledgeable professionals in the field of aging."
KIN420,Occupational Biomechanics,AHS,"A course designed to provide the student with knowledge to reduce the risk of injury and increase worker productivity. Issues include identification of injury risk factors, understanding injury mechanism, quantitative assessment of injury risk and intervention strategies to reduce the risk of injury. Specific examples include the use of computerized models and EMG methods to analyze low back loading, optimizing tool design and workspace layout and the examination of related issues such as office seating and vibration."
KIN422,Human Gait, Posture, and Balance: Pathological and Aging Considerations,AHS,"This course will provide a detailed understanding of the kinematics, kinetics, and neural control of standing posture, stepping, walking, and running under normal and perturbed conditions. Measurement techniques, processing data, and the interpretation of total body and limb synergies will be emphasised from a biomechanical and neural control perspective. The problems of the elderly and the assessment of those with pathologies will be emphasized."
KIN425,Biomechanical Modelling of Human Movement,AHS,"The quantitative measurement and analysis of the movement of the human musculo skeletal system. Multisegment dynamic movements will be studied using computer programs, with emphasis on kinematics, kinetics and energetics, as well as the use of EMG in the assessment of the control of the movement. Examples are presented from pathological, normal and athletic movement."
KIN427,Low Back Disorders,AHS,"An advanced elective undergraduate course that introduces the multidisciplinary issues (psychosocial, behavioural, physiological, motor control, biomechanical and legislative) related to low back disorders. A solid scientific foundation is developed from the study of anatomy, normal function and injury mechanics. This foundation is used to substantiate the best strategies for injury prevention and optimal rehabilitation for those with back troubles."
KIN428,Upper Extremity Musculoskeletal Disorders: Prevention, Assessment, and Rehabilitation,AHS,"This course introduces the multiple factors that mediate the initiation, diagnosis, treatment and rehabilitation of disorders in the upper extremities. Beginning with a systematic review of hand, wrist, elbow, and shoulder region functional anatomy, a knowledge base is developed to provide a means for the analysis of injury mechanisms. With this base developed, current prevention, clinical diagnosis and rehabilitation techniques for specific disorders will be examined, including carpal tunnel syndrome, rotator cuff tears, and lateral epicondylitis. Pathologies arising from occupational, sport, and daily living activities will be addressed."
